cod_ncm;nom_categoria;desc_ncm;ignore1;ignore2;ignore3;ignore4;ignore5;
02022020;CARNES E MIUDEZAS, COMESTÍVEIS;02022020 - QUART.TRASEIRO DE BOVINO NÃO DESOSS., CONG.;;;;;;
02022090;CARNES E MIUDEZAS, COMESTÍVEIS;02022090 - OUTRAS CARNES BOV. NÃO DESOSS.,CONGELADAS;;;;;;
02023000;CARNES E MIUDEZAS, COMESTÍVEIS;02023000 - CARNES DE BOVINO DESOSSADAS, CONGELADAS;;;;;;
02031100;CARNES E MIUDEZAS, COMESTÍVEIS;02031100 - CARCS E MEIAS-CARCS. DE SUÍNOS, FRESC., REFR.;;;;;;
02031200;CARNES E MIUDEZAS, COMESTÍVEIS;02031200 - PERNA E PEDAÇO Ñ DESOS. SUÍNOS, FRESC.,REFR.;;;;;;
02031900;CARNES E MIUDEZAS, COMESTÍVEIS;02031900 - OUTRAS CARNES DE SUÍNOS, FRESCAS OU REFRIG.;;;;;;
02032100;CARNES E MIUDEZAS, COMESTÍVEIS;02032100 - CARCS. E MEIAS-CARCS. DE SUÍNOS, CONGELADAS;;;;;;
02032200;CARNES E MIUDEZAS, COMESTÍVEIS;02032200 - PERNA E PEDAÇO Ñ DESOS. SUÍNOS, CONGELADOS;;;;;;
02032900;CARNES E MIUDEZAS, COMESTÍVEIS;02032900 - OUTRAS CARNES DE SUÍNO,CONGELADAS;;;;;;
02041000;CARNES E MIUDEZAS, COMESTÍVEIS;02041000 - CARCS.E MEIAS-CARCS D/CORDEIRO,FRESC.,REFR.;;;;;;
02042100;CARNES E MIUDEZAS, COMESTÍVEIS;02042100 - CARCS.E MEIAS-CARCS.DE OVINOS,FRESC.REFRIG.;;;;;;
02042200;CARNES E MIUDEZAS, COMESTÍVEIS;02042200 - OUTRAS PEÇAS Ñ DESOSS.D/OVINOS,FRESC.REFR.;;;;;;
02042300;CARNES E MIUDEZAS, COMESTÍVEIS;02042300 - PÇS DESOSSADAS D/OVINOS,FRESCAS OU REFRIG.;;;;;;
02043000;CARNES E MIUDEZAS, COMESTÍVEIS;02043000 - CARCS. E MEIAS-CARCS. DE CORDEIRO,CONG.;;;;;;
02044100;CARNES E MIUDEZAS, COMESTÍVEIS;02044100 - CARCS. E MEIAS-CARCS. OUTS.OVINOS,CONG.;;;;;;
02044200;CARNES E MIUDEZAS, COMESTÍVEIS;02044200 - OUTS.PÇS NÃO DESOSS.DE OVINOS,CONGELADAS;;;;;;
02044300;CARNES E MIUDEZAS, COMESTÍVEIS;02044300 - PEÇAS DESOSSADAS DE OVINOS,CONGELADAS;;;;;;
02045000;CARNES E MIUDEZAS, COMESTÍVEIS;02045000 - CARNES DE CAPRINOS,FRESC.,REFRIG.OU CONG.;;;;;;
02050000;CARNES E MIUDEZAS, COMESTÍVEIS;02050000 - CARNE CAVALO,ASININA,MUAR,FRESC.REF.,CONG.;;;;;;
02061000;CARNES E MIUDEZAS, COMESTÍVEIS;02061000 - MIUDEZAS DE BOVINOS,FRESCAS/REFRIGERADAS;;;;;;
02062100;CARNES E MIUDEZAS, COMESTÍVEIS;02062100 - LÍNGUAS DE BOVINOS CONGELADAS;;;;;;
02062200;CARNES E MIUDEZAS, COMESTÍVEIS;02062200 - FÍGADOS DE BOVINOS CONGELADOS;;;;;;
02062910;CARNES E MIUDEZAS, COMESTÍVEIS;02062910 - RABOS DE BOVINOS CONGELADOS;;;;;;
02062990;CARNES E MIUDEZAS, COMESTÍVEIS;02062990 - OUTRAS MIUDEZAS COMESTÍVEIS., D/BOVINO,CONG.;;;;;;
02063000;CARNES E MIUDEZAS, COMESTÍVEIS;02063000 - MIUDEZAS DA ESPÉCIE SUÍNA FRESCAS OU REFR.;;;;;;
02064100;CARNES E MIUDEZAS, COMESTÍVEIS;02064100 - FÍGADOS DE SUÍNOS, CONGELADOS;;;;;;
02064900;CARNES E MIUDEZAS, COMESTÍVEIS;02064900 - OUTRAS MIUDEZAS DE SUÍNOS, CONGELADAS;;;;;;
02068000;CARNES E MIUDEZAS, COMESTÍVEIS;02068000 - OUTRAS MIUDEZAS FRESCAS OU REFRIGERADAS;;;;;;
02069000;CARNES E MIUDEZAS, COMESTÍVEIS;02069000 - OUTRAS MIUDEZAS CONGELADAS;;;;;;
02071100;CARNES E MIUDEZAS, COMESTÍVEIS;02071100 - CARNES GALOS/GALINHAS,Ñ CORT.,FRESCAS/REFR.;;;;;;
02071200;CARNES E MIUDEZAS, COMESTÍVEIS;02071200 - CARNES GALOS/GALINHAS,Ñ CORT.,CONGELADO;;;;;;
02071300;CARNES E MIUDEZAS, COMESTÍVEIS;02071300 - PEDAÇOS/MIUDEZ.,D/GALOS/GALINHAS,FRESC,REF.;;;;;;
02071400;CARNES E MIUDEZAS, COMESTÍVEIS;02071400 - PEDAÇOS E MIUDEZ.DE GALOS E GALINHAS,CONG.;;;;;;
02072400;CARNES E MIUDEZAS, COMESTÍVEIS;02072400 - CARNES DE PERUAS/PERUS, Ñ CORT.,FRES/REFR.;;;;;;
